faction,gameSystem,spellId,name,type,threshold,effect,effectSkirmish,spellbookId
Change Disciples,grimdark-future,nWwXi,Blaze,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Change Disciples,grimdark-future,qqK-Z,Steal Power,2,2,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Change Disciples,grimdark-future,LzuC-,Inferno,0,2,Target enemy unit within 18” takes 1 hit with Blast(6).,Target enemy unit within 18” takes 1 hit with Blast(3).,_fl49
Change Disciples,grimdark-future,O_vRM,Loyalty,1,3,"Target 3 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Change Disciples,grimdark-future,WSsw3,Bolt of Change,0,3,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(6).","Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).",tNVWP
Custodian Brothers,grimdark-future,gwOV3,Blurred Sight,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Custodian Brothers,grimdark-future,YFdQT,Psychic Terror,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Custodian Brothers,grimdark-future,pJ1_V,Cerebral Trauma,2,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Custodian Brothers,grimdark-future,YexgZ,Cursed Ground,2,2,"Target 2 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Custodian Brothers,grimdark-future,lQtJR,Time Passage,1,3,"Target 2 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Custodian Brothers,grimdark-future,GZvZ5,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
DAO Union,grimdark-future,NHo8y,Patience,1,1,"Target 2 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
DAO Union,grimdark-future,CNGAN,Killing Blow,0,1,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
DAO Union,grimdark-future,AJix2,Boldness,1,2,"Target 2 friendly units within 12"" move +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
DAO Union,grimdark-future,ERNBr,Devastating Strike,0,2,Target enemy unit within 12” takes 8 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
DAO Union,grimdark-future,f3hnO,Pacification,2,3,"Target 2 enemy units within 18"" get -2 to hit rolls next time they fight in melee.","Target 4 enemy units within 18"" get -2 to hit rolls next time they fight in melee.",ZPTPD
DAO Union,grimdark-future,b8tp5,Deadly Surge,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Dark Brothers,grimdark-future,c19YO,Blurred Sight,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Dark Brothers,grimdark-future,0IRkW,Psychic Terror,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Dark Brothers,grimdark-future,iBpcF,Cursed Ground,2,2,"Target 2 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Dark Brothers,grimdark-future,IiOah,Cerebral Trauma,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Dark Brothers,grimdark-future,L_-cl,Time Passage,1,3,"Target 2 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Dark Brothers,grimdark-future,98xBf,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Dark Elf Raiders,grimdark-future,cP2qf,Anxiety,2,1,"Target 2 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Dark Elf Raiders,grimdark-future,z431N,Psych Grave,0,1,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 1 hit each.",6LaIv
Dark Elf Raiders,grimdark-future,3ORBa,Drugs,1,2,"Target 2 friendly units within 12"" get Regeneration next time they take wounds.","Target 4 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Dark Elf Raiders,grimdark-future,fgyPU,Pain,0,2,Target enemy unit within 12” takes 8 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Dark Elf Raiders,grimdark-future,j6oLQ,Adrenaline,1,3,"Target 2 friendly units within 12"" get +2 to hit rolls next time they fight in melee.","Target 4 friendly units within 12"" get +2 to hit next time they fight in melee.",0PTkA
Dark Elf Raiders,grimdark-future,tcH3w,Snake Bite,0,3,"Target enemy model within 12"" takes 3 hits with AP(4).","Target enemy model within 12"" takes 2 hits with AP(4).",QO6Oj
Dark Prime Brothers,grimdark-future,_TqtK,Blurred Sight,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Dark Prime Brothers,grimdark-future,q7FYs,Psychic Terror,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Dark Prime Brothers,grimdark-future,E2Hc6,Cursed Ground,2,2,"Target 2 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Dark Prime Brothers,grimdark-future,spwoE,Cerebral Trauma,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Dark Prime Brothers,grimdark-future,At3dW,Time Passage,1,3,"Target 2 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Dark Prime Brothers,grimdark-future,lpVma,Lightning Fog,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Dwarf Guilds,grimdark-future,xQ-Dv,Spite Rune ,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it fights in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Dwarf Guilds,grimdark-future,plGib,Smiting Rune ,0,1,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Dwarf Guilds,grimdark-future,6RfYW,Battle Rune ,1,2,"Target 2 friendly units within 12"" move +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Dwarf Guilds,grimdark-future,taC_s,Breaking Rune ,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Dwarf Guilds,grimdark-future,3Rm66,Drill Rune ,1,3,"Target 3 friendly units within 12"" get Flying next time they move.","Target 6 friendly units within 12"" get Flying next time they move.",hULCg
Dwarf Guilds,grimdark-future,vAujA,Cleaving Rune ,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Elven Jesters,grimdark-future,_E7yk,Psychic Fog,2,1,"Target 2 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Elven Jesters,grimdark-future,N7LHJ,Discord,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Elven Jesters,grimdark-future,cHPRj,Shadow Dance,1,2,"Target 2 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Elven Jesters,grimdark-future,X1iYd,Sorrow,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Elven Jesters,grimdark-future,QDWBm,Veil of Madness,2,3,"Target 2 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Elven Jesters,grimdark-future,VJ0vg,Light Shards,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Eternal Dynasty,grimdark-future,W-9aP,Weaken Soul,2,1,"Target 2 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Eternal Dynasty,grimdark-future,trKS8,Dragon Breath,0,1,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Eternal Dynasty,grimdark-future,cxXYp,Eternal Guidance,1,2,"Target 2 friendly unit within 12"" get +1 to hit rolls next time they shoot.","Target 4 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Eternal Dynasty,grimdark-future,_hB0l,Mind Challenge,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Eternal Dynasty,grimdark-future,G-gJZ,Spirit Wind,1,3,"Target 2 friendly units within 12"" move +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Eternal Dynasty,grimdark-future,pgW4u,Spirit Vortex,0,3,Target enemy unit within 18” takes 1 hit with Blast(12).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Goblin Reclaimers,grimdark-future,dm709,Short Circuit,2,1,"Target enemy unit within 18"" gets -1 to defense rolls next time it takes hits.","Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Goblin Reclaimers,grimdark-future,pMFQu,Zap!,0,1,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Goblin Reclaimers,grimdark-future,bBHHA,Assemble,1,2,"Target 2 friendly units within 12"" get Rending next time they shoot.","Target 4 friendly units within 12"" get Rending next time they shoot.",qaJSj
Goblin Reclaimers,grimdark-future,u5dTO,Pow!,0,2,"Target enemy unit within 12"" takes 4 hits with AP(2).","Target enemy unit within 12"" takes 2 hits with AP(2).",cJZ_-
Goblin Reclaimers,grimdark-future,mfx9y,Shroud Field,1,3,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 8 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Goblin Reclaimers,grimdark-future,x4Szf,Boom!,0,3,Target enemy unit within 18” takes 1 hit with Blast(12).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Havoc Brothers,grimdark-future,WqVYV,Dark Sight,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Havoc Brothers,grimdark-future,ETqFz,Havoc Terror,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Havoc Brothers,grimdark-future,koM0N,Cursed Sludge,2,2,"Target 2 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -2"" next time they Advance, or -4"" next time they Charge/Rush.",tnhFl
Havoc Brothers,grimdark-future,EMMnm,Havoc Trauma,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Havoc Brothers,grimdark-future,UD96W,Warp Passage,1,3,"Target 2 friendly units within 12"" get AP(+3) next time they charge.","Target 4 friendly units within 12"" get AP(+3) next time they charge.",wdqGV
Havoc Brothers,grimdark-future,2cJLM,Daemon Fog,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
High Elf Fleets,grimdark-future,BWlZI,Hide,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
High Elf Fleets,grimdark-future,Hql50,Soul Seeker,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
High Elf Fleets,grimdark-future,f-bwL,Creator,1,2,"Target 2 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
High Elf Fleets,grimdark-future,CvffV,Destroyer,0,2,Target enemy unit within 12” takes 8 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
High Elf Fleets,grimdark-future,UVq_l,Blessing,1,3,"Target 2 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
High Elf Fleets,grimdark-future,mtWSY,Curse,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Human Defense Force,grimdark-future,ya8QP,Foresight,1,1,"Target friendly unit within 12"" gets +1 to hit rolls next time it shoots.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Human Defense Force,grimdark-future,CsJOp,Flame Breath,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Human Defense Force,grimdark-future,sC4Gz,Protective Dome,1,2,"Target 3 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Human Defense Force,grimdark-future,2u5gr,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Human Defense Force,grimdark-future,TzMwj,Psychic Speed,1,3,"Target 2 friendly units within 12"" move +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Human Defense Force,grimdark-future,i1uZl,Tempest,0,3,Target enemy unit within 18” takes 1 hit with Blast(12).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Human Inquisition,grimdark-future,T9CvX,Foresight,1,1,"Target friendly unit within 12"" gets +1 to hit rolls next time it shoots.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Human Inquisition,grimdark-future,cQil0,Flame Breath,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Human Inquisition,grimdark-future,FNNTr,Protective Dome,1,2,"Target 3 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Human Inquisition,grimdark-future,fboTC,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Human Inquisition,grimdark-future,4Wlcg,Psychic Speed,1,3,"Target 2 friendly units within 12"" move +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Human Inquisition,grimdark-future,fjYgb,Tempest,0,3,Target enemy unit within 18” takes 1 hit with Blast(12).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Infected Colonies,grimdark-future,XIFoj,Infestation,1,1,"Target 2 friendly units within 12"" get Poison next time they fight in melee.","Target 4 friendly units within 12"" get Poison next time they fight in melee.",9aOrY
Infected Colonies,grimdark-future,7VYGG,Bio-Horror,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Infected Colonies,grimdark-future,9kPTj,Onslaught,1,2,"Target 2 friendly units within 12"" move +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Infected Colonies,grimdark-future,POEyK,Panic Virus,0,2,Target enemy unit within 12” takes 8 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Infected Colonies,grimdark-future,Vg3yZ,Vigour,1,3,"Target 3 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Infected Colonies,grimdark-future,9xEir,Plague,0,3,Target enemy unit within 18” takes 1 hit with Blast(12).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Jackals,grimdark-future,icwzh,Lean and Mean,1,1,"Target 2 friendly units within 12"" move +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Jackals,grimdark-future,-BUjo,Feral Strike,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Jackals,grimdark-future,JA8IE,Psy-Canines,1,2,"Target 2 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Jackals,grimdark-future,u7epQ,Quill Blast,0,2,Target enemy unit within 12” takes 8 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Jackals,grimdark-future,qmDvb,Shaper,1,3,"Target 3 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Jackals,grimdark-future,lJ385,Power Maw,0,3,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(6).","Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).",tNVWP
Knight Brothers,grimdark-future,Tqoh8,Ward ,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it fights in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Knight Brothers,grimdark-future,AWMNt,Cleanse ,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Knight Brothers,grimdark-future,QM7hX,Warp ,2,2,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Knight Brothers,grimdark-future,6WkF_,Doom ,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Knight Brothers,grimdark-future,_jKxS,Strike ,1,3,"Target 2 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Knight Brothers,grimdark-future,aZgFv,Purge ,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Knight Prime Brothers,grimdark-future,3HP9S,Ward,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it fights in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Knight Prime Brothers,grimdark-future,wrrFi,Cleanse,0,1,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Knight Prime Brothers,grimdark-future,5LsIe,Warp,2,2,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 4 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Knight Prime Brothers,grimdark-future,1J2D4,Doom,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Knight Prime Brothers,grimdark-future,7AcRX,Strike,1,3,"Target 2 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Knight Prime Brothers,grimdark-future,w7L3s,Purge,0,3,"Target 2 enemy units within 12"" take 6 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Lust Disciples,grimdark-future,rMOo3,Acquiescence,2,1,"Target enemy unit within 18"" gets -1 to hit rolls next time it shoots.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Lust Disciples,grimdark-future,NVGgc,Seizure,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Lust Disciples,grimdark-future,gFLg7,Pleasure ,1,2,"Target 2 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Lust Disciples,grimdark-future,m9pvN,Pain,0,2,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Lust Disciples,grimdark-future,3Dtkx,Ecstasy,1,3,"Target 2 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
